stage,match_date,hometeam,awayteam,home_prob,draw_prob,away_prob,scrape_datetime,url,league_code
July,7/4,Minnesota,Columbus,0.43,0.25,0.32,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/4,Atlanta,San Jose,0.53,0.26,0.21,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/4,FC Dallas,D.C. United,0.54,0.25,0.2,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/4,Colorado,Seattle,0.41,0.29,0.3,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/4,LA Galaxy,Real Salt Lake,0.54,0.25,0.21,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/5,New England,NY Red Bulls,0.51,0.25,0.24,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/5,Orlando City,Toronto FC,0.32,0.26,0.41,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/5,Houston,Montreal,0.5,0.25,0.25,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/5,Vancouver,NYCFC,0.44,0.26,0.3,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/5,Portland,Chicago,0.49,0.25,0.25,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/6,Sporting KC,Philadelphia,0.54,0.26,0.2,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/19,NY Red Bulls,San Jose,0.54,0.26,0.2,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/19,Montreal,Philadelphia,0.51,0.25,0.24,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/19,NYCFC,Toronto FC,0.45,0.25,0.3,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/19,Minnesota,Houston,0.41,0.26,0.33,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/19,LA Galaxy,Vancouver,0.52,0.25,0.22,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/19,Seattle,D.C. United,0.54,0.25,0.21,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/19,Portland,Real Salt Lake,0.54,0.24,0.21,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/21,Orlando City,Atlanta,0.46,0.26,0.28,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/22,NYCFC,Chicago,0.52,0.24,0.24,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/22,Minnesota,NY Red Bulls,0.38,0.26,0.36,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/22,D.C. United,Houston,0.44,0.27,0.29,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/22,Toronto FC,Colorado,0.54,0.26,0.2,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/22,Columbus,Philadelphia,0.5,0.25,0.25,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/22,Montreal,FC Dallas,0.45,0.26,0.28,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/22,New England,LA Galaxy,0.51,0.25,0.24,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/22,Real Salt Lake,Sporting KC,0.29,0.28,0.43,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/23,Vancouver,Portland,0.47,0.26,0.27,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/23,Seattle,San Jose,0.54,0.27,0.19,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/26,Philadelphia,Columbus,0.5,0.25,0.25,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/29,Atlanta,Orlando City,0.52,0.25,0.22,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/29,NY Red Bulls,Montreal,0.52,0.25,0.23,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/29,New England,Philadelphia,0.53,0.25,0.22,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/29,Houston,Portland,0.49,0.26,0.26,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/29,Real Salt Lake,Columbus,0.4,0.26,0.34,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/29,Sporting KC,Chicago,0.53,0.26,0.21,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/29,FC Dallas,Vancouver,0.53,0.26,0.21,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/29,San Jose,Colorado,0.49,0.29,0.22,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/29,Minnesota,D.C. United,0.48,0.26,0.27,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/29,LA Galaxy,Seattle,0.49,0.26,0.24,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/30,Toronto FC,NYCFC,0.53,0.24,0.23,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/5,D.C. United,Toronto FC,0.31,0.26,0.43,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/5,Philadelphia,FC Dallas,0.43,0.27,0.29,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/5,Montreal,Orlando City,0.53,0.25,0.23,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/5,Minnesota,Seattle,0.37,0.27,0.36,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/5,Chicago,New England,0.49,0.25,0.26,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/5,Real Salt Lake,Houston,0.39,0.27,0.35,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/5,Colorado,Vancouver,0.45,0.28,0.27,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/5,San Jose,Columbus,0.46,0.27,0.27,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/6,Portland,LA Galaxy,0.49,0.26,0.26,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/6,NYCFC,NY Red Bulls,0.51,0.25,0.24,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/6,Sporting KC,Atlanta,0.54,0.26,0.2,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/12,Seattle,Sporting KC,0.46,0.28,0.26,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/12,Toronto FC,Portland,0.54,0.24,0.22,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/12,D.C. United,Real Salt Lake,0.53,0.25,0.22,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/12,Columbus,Chicago,0.46,0.25,0.28,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/12,NY Red Bulls,Orlando City,0.54,0.25,0.21,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/12,FC Dallas,Colorado,0.54,0.27,0.19,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
August,8/12,New England,Vancouver,0.53,0.25,0.22,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
